,RACE,GENDER,BODY_SIZE,AGE_RANGE,KIDS_CATEGORY,BASKET_SIZE,BASKET_COLOUR,ATTIRE,SHIRT_COLOUR,SHIRT_TYPE,PANTS_COLOUR,PANTS_TYPE,WASH_ITEM,WASHER_NO,DRYER_NO,SPECTACLES,AGE_GROUP,PART_OF_DAY,DAY_OF_WEEK
RACE,0.0,0.11522813232143332,0.08144693094142734,0.07658247471717528,0.109279470937456,0.0,0.09603527413581146,0.10045716824709304,0.09946479520079433,0.29180203248994324,0.11394751826084636,0.2700418001073772,0.09262949313921195,0.045280606156454635,0.04097102956378034,0.19834030147194567,0.01288951458103143,0.1536998644886464,0.1399560454655503
GENDER,0.11522813232143332,0.0,0.07938886248555176,0.0,0.14874772270754777,0.0,0.06037321241279894,0.15355845903595902,0.16309128462085493,0.20409128677715735,0.24155531156524537,0.022006691302447565,0.0667998315389274,0.0,0.027314813188821042,0.10244299141739072,0.0,0.06891249113015277,0.07243577410498261
BODY_SIZE,0.08144693094142734,0.07938886248555176,0.0,0.0,0.1212485878161509,0.030497735248988963,0.024980588806325133,0.10027267628258159,0.14825301678754133,0.08837278180664626,0.15701944448400218,0.09505056852416931,0.03308989921279319,0.08581554677795497,0.05098472685947914,0.0,0.0,0.056687064701348835,0.11055879006697757
AGE_RANGE,0.07658247471717528,0.0,0.0,0.0,0.0685381394627744,0.061387740205156895,0.004963221602805086,0.0,0.031664921247858885,0.0717415485163096,0.0,0.15025182874773543,0.02850143713690321,0.0,0.0,0.0,0.9861715530702019,0.0,0.06841609857090149
KIDS_CATEGORY,0.109279470937456,0.14874772270754777,0.12124858781615089,0.0685381394627744,0.0,0.016044197289202915,0.07830478701241574,0.16486622066781173,0.1262193268722324,0.03049912190396463,0.20646449008719994,0.04936361895896663,0.14981408386748563,0.04706979468933137,0.0,0.0,0.07727383482532964,0.08939497500889872,0.11732692884613548
BASKET_SIZE,0.0,0.0,0.030497735248988963,0.06138774020515684,0.016044197289202942,0.0,0.20152110420771305,0.12098750869952815,0.16238297320583844,0.0,0.19084307186853497,0.036750556654748134,0.061631031537714695,0.08511092432497833,0.021121526929555937,0.04234709687575056,0.0,0.07253885220533945,0.08772390470643313
BASKET_COLOUR,0.09603527413581146,0.06037321241279894,0.024980588806325088,0.004963221602805086,0.07830478701241576,0.20152110420771305,0.0,0.09320036618806078,0.11111394712701446,0.12874530776947418,0.09596584362976038,0.06521241780979166,0.04343505912071641,0.11243282252472056,0.068987709756394,0.10791793026099619,0.04697770797763458,0.0723237682100292,0.07798870906758809
ATTIRE,0.10045716824709305,0.15355845903595902,0.10027267628258159,0.0,0.16486622066781167,0.12098750869952814,0.09320036618806078,0.0,0.1682855038078647,0.26141223206226916,0.21198823419337365,0.14985708916988563,0.06415416177600605,0.08922248101454035,0.0,0.05210768550205522,0.0,0.15705370401379903,0.14267886475234698
SHIRT_COLOUR,0.09946479520079433,0.16309128462085493,0.14825301678754133,0.03166492124785896,0.12621932687223236,0.16238297320583844,0.11111394712701446,0.16828550380786472,0.0,0.18459212462566682,0.17816371670385558,0.13690046970048225,0.032438831007954645,0.0318381422998265,0.06430814687232399,0.05670628253880767,0.0,0.07038105897520436,0.09370468002154482
SHIRT_TYPE,0.29180203248994324,0.20409128677715738,0.08837278180664626,0.0717415485163096,0.03049912190396463,0.0,0.1287453077694742,0.2614122320622692,0.18459212462566674,0.0,0.08424862266425669,0.20758630965828678,0.10136381936380111,0.0,0.044754491462150686,0.048454405922681465,0.04470509493759225,0.11346564675398786,0.05690964070003899
PANTS_COLOUR,0.11394751826084636,0.24155531156524535,0.15701944448400218,0.0,0.20646449008719997,0.19084307186853497,0.09596584362976035,0.2119882341933736,0.1781637167038556,0.08424862266425673,0.0,0.292964753697205,0.14213012434553055,0.18971642317649307,0.10054190173861091,0.12451404598235517,0.01919331826723772,0.12851098807292577,0.10256758715253864
PANTS_TYPE,0.2700418001073772,0.022006691302447576,0.09505056852416933,0.15025182874773543,0.049363618958966654,0.036750556654748134,0.06521241780979166,0.14985708916988563,0.13690046970048225,0.20758630965828678,0.292964753697205,0.0,0.0,0.07009565589526216,0.028310506890485435,0.0,0.052424946654611726,0.22606070659655778,0.2224611827364749
WASH_ITEM,0.09262949313921194,0.0667998315389274,0.03308989921279319,0.02850143713690321,0.14981408386748563,0.061631031537714695,0.04343505912071641,0.06415416177600605,0.032438831007954645,0.10136381936380111,0.14213012434553052,0.0,0.0,0.06347389597131106,0.10405083905267891,0.03459470090528679,0.04018319634037946,0.09357621685551001,0.15316299664557997
WASHER_NO,0.04528060615645466,0.0,0.08581554677795497,0.0,0.04706979468933137,0.08511092432497833,0.11243282252472055,0.08922248101454035,0.0318381422998265,0.0,0.18971642317649307,0.07009565589526216,0.06347389597131106,0.0,0.11131139683246673,0.07995602778721204,0.0,0.0684278885489505,0.0
DRYER_NO,0.04097102956378034,0.02731481318882103,0.05098472685947913,0.0,0.0,0.021121526929555937,0.06898770975639403,0.0,0.06430814687232402,0.04475449146215068,0.10054190173861093,0.02831050689048542,0.10405083905267891,0.11131139683246673,0.0,0.09207410622330452,0.04592990102444065,0.0,0.0
SPECTACLES,0.19834030147194567,0.10244299141739072,0.0,0.0,0.0,0.04234709687575056,0.10791793026099619,0.05210768550205522,0.05670628253880764,0.04845440592268145,0.12451404598235517,0.0,0.03459470090528679,0.07995602778721204,0.09207410622330453,0.0,0.07443588564929753,0.0,0.0
AGE_GROUP,0.012889514581031465,0.0,0.0,0.9861715530702019,0.07727383482532962,0.0,0.04697770797763458,0.0,0.0,0.04470509493759225,0.01919331826723772,0.052424946654611726,0.04018319634037946,0.0,0.04592990102444065,0.07443588564929751,0.0,0.040300853401193486,0.03907451836617712
PART_OF_DAY,0.1536998644886464,0.06891249113015277,0.05668706470134885,0.0,0.0893949750088987,0.07253885220533945,0.0723237682100292,0.15705370401379906,0.07038105897520436,0.11346564675398786,0.12851098807292574,0.22606070659655778,0.09357621685551001,0.0684278885489505,0.0,0.0,0.04030085340119347,0.0,0.3340665666617783
DAY_OF_WEEK,0.13995604546555027,0.07243577410498263,0.11055879006697757,0.06841609857090149,0.11732692884613548,0.08772390470643313,0.07798870906758805,0.14267886475234698,0.09370468002154485,0.05690964070003899,0.10256758715253861,0.22246118273647492,0.15316299664557997,0.0,0.0,0.0,0.03907451836617713,0.3340665666617783,0.0
